入替日,2025/11/13,,,,,
タイホー　双葉店,307,P,Ｐとある科学の超電磁砲　最強御坂ＶｅｒＲＶＺ,210239,4.16,500円/120玉
タイホー　双葉店,308,P,Ｐ天才バカボン６ＦＤ－ＲＳ,1P1094,4.16,500円/120玉
タイホー　双葉店,310,P,Ｐバジリスク２ＡＢ,0P1059,4.16,500円/120玉
タイホー　双葉店,311,P,Ｐシン・エヴァンゲリオンＭＶ,410629,4.16,500円/120玉
タイホー　双葉店,312,P,Ｐ真北斗無双３覚醒闘舞ＧＣＤ,210115,4.16,500円/120玉
タイホー　双葉店,313,P,Ｐフィーバー炎炎ノ消防隊ＹＲ,3P1234,4.16,500円/120玉
タイホー　双葉店,315,P,Ｐ地獄少女　Ｌｉｇｈｔ　ＦＶＢ,2P1485,4.16,500円/120玉
タイホー　双葉店,316,P,ＰＡフィーバー機動戦士ガンダムユニコーンｂＹ,1P0892,4.16,500円/120玉
タイホー　双葉店,317,P,Ｐ宇宙戦艦ヤマト２２０２　ＯＮＬＹ　ＯＮＥ　ＹＲ,2P0416,4.16,500円/120玉
タイホー　双葉店,318,P,Ｐルパン三世１３７ＹＲ２,4P0177,4.16,500円/120玉
タイホー　双葉店,320,P,ＰＡわんわんセレブレーションＡＧＢＤ,410261,4.16,500円/120玉
タイホー　双葉店,321,P,Ｐ新世紀エヴァンゲリオン１５　未来への咆哮Ｙ,1P1294,4.16,500円/120玉
タイホー　双葉店,322,P,Ｐ宇宙戦艦ヤマト２２０２ｂＨ,1P0316,4.16,500円/120玉
タイホー　双葉店,323,P,ＰＡＣＹＢＯＲＧ００９Ｎ－Ｘ１,9P1321,4.16,500円/120玉
タイホー　双葉店,325,P,Ｐとある魔術の禁書目録２　Ｌｉｇｈｔ　ＪＷＸ,410608,4.16,500円/120玉
タイホー　双葉店,326,P,Ｐルパン三世ＬＡＳＴＧＯＬＤ９ＡＵ１,9P0729,4.16,500円/120玉
タイホー　双葉店,327,P,Ｐリング　呪いの７日間３　Ｌｉｇｈｔ　ＪＶＺ,410140,4.16,500円/120玉
タイホー　双葉店,328,P,ＰビッグドリームＳＳＰＨ,310100,4.16,500円/120玉
タイホー　双葉店,330,P,Ｐフィーバーありふれた職業で世界最強ＹＲ,310204,4.16,500円/120玉
タイホー　双葉店,331,P,Ｐ真・花の慶次３Ｎ－Ｋ,3P0969,4.16,500円/120玉
タイホー　双葉店,332,P,Ｐゴブリンスレイヤー　ラッキートリガーＶｅｒＪＶＲ,310612,4.16,500円/120玉
タイホー　双葉店,333,P,ＰＡ野生の王国５　Ｎ－Ｋ,1P0836,4.16,500円/120玉
タイホー　双葉店,335,P,Ｐ花の慶次～裂Ｎ２－ＶＣ,410576,4.16,500円/120玉
タイホー　双葉店,336,P,Ｐ貞子ＦＭＤ,3P1869,4.16,500円/120玉
タイホー　双葉店,337,P,Ｐ貞子ＦＭＤ,3P1869,4.16,500円/120玉
タイホー　双葉店,338,P,Ｐサラリーマン金太郎　ＦＭＹ,210040,4.16,500円/120玉
タイホー　双葉店,350,P,Ｐとある魔術の禁書目録ＪＵＡ,0P0703,4.16,500円/120玉
タイホー　双葉店,351,P,Ｐゴジラ対エヴァンゲリオン　Ｇ細胞覚醒Ｌ,210166,4.16,500円/120玉
タイホー　双葉店,352,P,Ｐゴジラ対エヴァンゲリオン　Ｇ細胞覚醒Ｌ,210166,4.16,500円/120玉
タイホー　双葉店,353,P,Ｐゴジラ対エヴァンゲリオン　Ｇ細胞覚醒Ｌ,210166,4.16,500円/120玉
タイホー　双葉店,355,P,Ｐベルセルク無双～冥府魔道Ｍ１２－Ｚ,2P1823,4.16,500円/120玉
タイホー　双葉店,356,P,Ｐフィーバーダンベル何キロ持てる？Ｖ,2P1346,4.16,500円/120玉
タイホー　双葉店,357,P,ＰぱちんこアズールレーンTHE ANIMATION ＭＣ２,2P0629,4.16,500円/120玉
タイホー　双葉店,358,P,ＰぱちんこアズールレーンTHE ANIMATION ＭＣ２,2P0629,4.16,500円/120玉
タイホー　双葉店,360,P,Ｐフィーバー炎炎ノ消防隊Ｇ,2P0685,4.16,500円/120玉
タイホー　双葉店,361,P,Ｐフィーバー炎炎ノ消防隊Ｇ,2P0685,4.16,500円/120玉
タイホー　双葉店,362,P,Ｐフィーバー炎炎ノ消防隊Ｇ,2P0685,4.16,500円/120玉
タイホー　双葉店,363,P,Ｐ真北斗無双４ＧＦＰＨ,210262,4.16,500円/120玉
タイホー　双葉店,365,P,Ｐ真北斗無双４ＧＦＰＨ,210262,4.16,500円/120玉
タイホー　双葉店,366,P,Ｐ真北斗無双４ＧＦＰＨ,210262,4.16,500円/120玉
タイホー　双葉店,367,P,Ｐとある魔術の禁書目録２ＪＭＺ,310350,4.16,500円/120玉
タイホー　双葉店,368,P,Ｐとある魔術の禁書目録２ＪＭＺ,310350,4.16,500円/120玉
タイホー　双葉店,370,P,Ｐとある魔術の禁書目録２ＪＭＺ,310350,4.16,500円/120玉
タイホー　双葉店,371,P,Ｐスーパー海物語ＩＮ沖縄５ＬＴＶ,0P1742,0.96,100円/96玉
タイホー　双葉店,372,P,Ｐスーパー海物語ＩＮ沖縄５ＬＴＶ,0P1742,0.96,100円/96玉
タイホー　双葉店,373,P,ＰＡ新海物語ＡＲＢＢ,210053,0.96,100円/96玉
タイホー　双葉店,375,P,ＰＡ新海物語ＡＲＢＢ,210053,0.96,100円/96玉
タイホー　双葉店,376,P,ＰＡ新海物語ＡＲＢＢ,210053,0.96,100円/96玉
タイホー　双葉店,377,P,Ｐスーパー海物語ＩＮ沖縄５ＹＴＣ,1P1703,0.96,100円/96玉
タイホー　双葉店,378,P,Ｐギンパラ夢幻カーニバルＨＴＫ,0P0969,0.96,100円/96玉
タイホー　双葉店,380,P,ＰＡギンパラ夢幻カーニバルＨＢＡ,1P1000,0.96,100円/96玉
タイホー　双葉店,381,P,ＰＡギンパラ夢幻カーニバルＨＢＡ,1P1000,0.96,100円/96玉
タイホー　双葉店,382,P,ＰＡ元祖ギンギラパラダイスＨＢＣ,1P1530,0.96,100円/96玉
タイホー　双葉店,383,P,Ｐ元祖ギンギラパラダイスＨＣＢ,110142,0.96,100円/96玉
タイホー　双葉店,385,P,ＰＡスーパー海物語ＩＮ沖縄５ＹＢＡ,2P0057,0.96,100円/96玉
タイホー　双葉店,386,P,ＰＧＯ！ＧＯ！マリン３０００ＨＣＤ,310152,0.96,100円/96玉
タイホー　双葉店,387,P,Ｐ海物語Ｅ,0P0828,0.96,100円/96玉
タイホー　双葉店,388,P,Ｐ海物語Ｅ,0P0828,0.96,100円/96玉
タイホー　双葉店,500,P,ＰＡスーパー海物語ＩＮ沖縄５ＳＢＡ,1P0211,0.96,100円/96玉
タイホー　双葉店,501,P,ＰＡスーパー海物語ＩＮ沖縄５ＳＢＡ,1P0211,0.96,100円/96玉
タイホー　双葉店,502,P,ＰＡスーパー海物語ＩＮ沖縄５ＳＢＡ,1P0211,0.96,100円/96玉
タイホー　双葉店,503,P,ＰＡスーパー海物語ＩＮ沖縄５ＳＢＡ,1P0211,0.96,100円/96玉
タイホー　双葉店,505,P,ＰＡスーパー海物語ＩＮ沖縄５ＳＢＡ,1P0211,0.96,100円/96玉
タイホー　双葉店,506,P,ＰＡ大海物語４スペシャルＲＢＡ,0P0594,0.96,100円/96玉
タイホー　双葉店,507,P,ＰＡ大海物語４スペシャルＲＢＡ,0P0594,0.96,100円/96玉
タイホー　双葉店,508,P,ＰＡ大海物語４スペシャルＲＢＡ,0P0594,0.96,100円/96玉
タイホー　双葉店,510,P,ＰＡ大海物語４スペシャルＲＢＡ,0P0594,0.96,100円/96玉
タイホー　双葉店,511,P,ＰＡ大海物語４スペシャルＲＢＡ,0P0594,0.96,100円/96玉
タイホー　双葉店,512,P,ＰＡ大海物語４スペシャルＲＢＡ,0P0594,0.96,100円/96玉
タイホー　双葉店,513,P,ＰＡ大海物語４スペシャルＲＢＡ,0P0594,0.96,100円/96玉
タイホー　双葉店,515,P,ＰＡ大海物語４スペシャルＲＢＡ,0P0594,0.96,100円/96玉
タイホー　双葉店,516,P,ＰＡ大海物語４スペシャルＲＢＡ,0P0594,0.96,100円/96玉
タイホー　双葉店,517,P,ＰＡ大海物語４スペシャルＲＢＡ,0P0594,0.96,100円/96玉
タイホー　双葉店,518,P,ＰＡ大海物語４スペシャルＲＢＡ,0P0594,0.96,100円/96玉
タイホー　双葉店,520,P,ＰＡ大海物語４スペシャルＲＢＡ,0P0594,0.96,100円/96玉
タイホー　双葉店,521,P,ＰＡスーパー海物語ＩＮ地中海ＳＢＡ,9P1367,0.96,100円/96玉
タイホー　双葉店,522,P,ＰＡスーパー海物語ＩＮ地中海ＳＢＡ,9P1367,0.96,100円/96玉
タイホー　双葉店,523,P,ＰＡスーパー海物語ＩＮ地中海ＳＢＡ,9P1367,0.96,100円/96玉
タイホー　双葉店,525,P,ＰＡスーパー海物語ＩＮ地中海ＳＢＡ,9P1367,0.96,100円/96玉
タイホー　双葉店,526,P,ＰＡスーパー海物語ＩＮ地中海ＳＢＡ,9P1367,0.96,100円/96玉
タイホー　双葉店,527,P,ＰＡスーパー海物語ＩＮ地中海ＳＢＡ,9P1367,0.96,100円/96玉
タイホー　双葉店,528,P,ＰＡスーパー海物語ＩＮ地中海ＳＢＡ,9P1367,0.96,100円/96玉
タイホー　双葉店,530,P,ＰＡスーパー海物語ＩＮ地中海ＳＢＡ,9P1367,0.96,100円/96玉
タイホー　双葉店,531,P,ＰＡスーパー海物語ＩＮ沖縄５ＳＢＡ,1P0211,0.96,100円/96玉
タイホー　双葉店,532,P,ＰＡスーパー海物語ＩＮ沖縄５ＳＢＡ,1P0211,0.96,100円/96玉
タイホー　双葉店,533,P,ＰＡスーパー海物語ＩＮ沖縄５ＳＢＡ,1P0211,0.96,100円/96玉
タイホー　双葉店,535,P,ＰＡスーパー海物語ＩＮ沖縄５ＳＢＡ,1P0211,0.96,100円/96玉
タイホー　双葉店,536,P,ＰＡスーパー海物語ＩＮ沖縄５ＳＢＡ,1P0211,0.96,100円/96玉
タイホー　双葉店,537,P,ＰＡスーパー海物語ＩＮ沖縄５ＳＢＡ,1P0211,0.96,100円/96玉
タイホー　双葉店,538,P,ＰＡスーパー海物語ＩＮ沖縄５ＳＢＡ,1P0211,0.96,100円/96玉
タイホー　双葉店,550,P,ＰＡスーパー海物語ＩＮ沖縄５ＳＢＡ,1P0211,0.96,100円/96玉
タイホー　双葉店,551,P,ＰＡスーパー海物語ＩＮ沖縄５ＳＢＡ,1P0211,0.96,100円/96玉
タイホー　双葉店,552,P,ＰＡスーパー海物語ＩＮ沖縄５ＳＢＡ,1P0211,0.96,100円/96玉
タイホー　双葉店,553,P,ＰＡスーパー海物語ＩＮ沖縄５ＳＢＡ,1P0211,0.96,100円/96玉
タイホー　双葉店,555,P,ＰＡスーパー海物語ＩＮ沖縄５ＳＢＡ,1P0211,0.96,100円/96玉
タイホー　双葉店,556,P,ＰＡスーパー海物語ＩＮ沖縄５ＳＢＡ,1P0211,0.96,100円/96玉
タイホー　双葉店,557,P,ＰＡスーパー海物語ＩＮジャパン２ＭＧ,9P0719,0.96,100円/96玉
タイホー　双葉店,558,P,ＰＡスーパー海物語ＩＮジャパン２ＭＧ,9P0719,0.96,100円/96玉
タイホー　双葉店,560,P,ＰＡスーパー海物語ＩＮジャパン２ＭＧ,9P0719,0.96,100円/96玉
タイホー　双葉店,561,P,ＰＡスーパー海物語ＩＮジャパン２ＭＧ,9P0719,0.96,100円/96玉
タイホー　双葉店,562,P,ＰＡスーパー海物語ＩＮジャパン２ＭＧ,9P0719,0.96,100円/96玉
タイホー　双葉店,563,P,ＰＡスーパー海物語ＩＮ地中海２ＨＬＡ,410099,0.96,100円/96玉
タイホー　双葉店,565,P,ＰＡスーパー海物語ＩＮ地中海２ＨＬＡ,410099,0.96,100円/96玉
タイホー　双葉店,566,P,Ｐスーパー海物語ＩＮ沖縄５ＬＴＶ,0P1742,0.96,100円/96玉
タイホー　双葉店,567,P,Ｐスーパー海物語ＩＮ沖縄５ＬＴＶ,0P1742,0.96,100円/96玉
タイホー　双葉店,568,P,Ｐスーパー海物語ＩＮ沖縄５ＬＴＶ,0P1742,0.96,100円/96玉
タイホー　双葉店,570,P,Ｐスーパー海物語ＩＮ沖縄５ＬＴＶ,0P1742,0.96,100円/96玉
タイホー　双葉店,571,P,Ｐスーパー海物語ＩＮ沖縄５ＬＴＶ,0P1742,0.96,100円/96玉
タイホー　双葉店,572,P,Ｐスーパー海物語ＩＮ沖縄５ＬＴＶ,0P1742,0.96,100円/96玉
タイホー　双葉店,573,P,Ｐスーパー海物語ＩＮ沖縄５ＬＴＶ,0P1742,0.96,100円/96玉
タイホー　双葉店,575,P,Ｐスーパー海物語ＩＮ沖縄５ＳＣＦ,1P0514,0.96,100円/96玉
タイホー　双葉店,576,P,Ｐスーパー海物語ＩＮ沖縄５ＳＣＦ,1P0514,0.96,100円/96玉
タイホー　双葉店,577,P,Ｐスーパー海物語ＩＮ沖縄５ＳＣＦ,1P0514,0.96,100円/96玉
タイホー　双葉店,578,P,Ｐスーパー海物語ＩＮジャパン２ＳＣＢ,9P1529,0.96,100円/96玉
タイホー　双葉店,580,P,Ｐスーパー海物語ＩＮジャパン２ＳＣＢ,9P1529,0.96,100円/96玉
タイホー　双葉店,581,P,Ｐスーパー海物語ＩＮジャパン２ＳＣＢ,9P1529,0.96,100円/96玉
タイホー　双葉店,582,P,Ｐスーパー海物語ＩＮジャパン２ＳＣＢ,9P1529,0.96,100円/96玉
タイホー　双葉店,583,P,Ｐ大海物語４スペシャルＳＣＡ,0P1589,0.96,100円/96玉
タイホー　双葉店,585,P,Ｐ大海物語４スペシャルＳＣＡ,0P1589,0.96,100円/96玉
タイホー　双葉店,586,P,Ｐ大海物語４スペシャルＳＣＡ,0P1589,0.96,100円/96玉
タイホー　双葉店,587,P,Ｐ大海物語４スペシャルＳＣＡ,0P1589,0.96,100円/96玉
タイホー　双葉店,588,P,Ｐ大海物語４スペシャルＳＣＡ,0P1589,0.96,100円/96玉
タイホー　双葉店,600,P,Ｐ大海物語４スペシャルＳＣＡ,0P1589,0.96,100円/96玉
タイホー　双葉店,601,P,Ｐ新世紀エヴァンゲリオン１５　未来への咆哮Ｙ,1P1294,0.96,100円/96玉
タイホー　双葉店,602,P,Ｐ真・花の慶次２Ｍ３－ＶＣ,1P0681,0.96,100円/96玉
タイホー　双葉店,603,P,ＰＡ激デジジューシーハニーハーレムＲＡＹ,2P1522,0.96,100円/96玉
タイホー　双葉店,605,P,Ｐフィーバー革命機ヴァルヴレイヴ２Ｆ,0P1635,0.96,100円/96玉
タイホー　双葉店,606,P,Ｐ頭文字ＤＳＥＪＧ,1P1667,0.96,100円/96玉
タイホー　双葉店,607,P,Ｐデジハネエウレカセブンハイエボ２ＳＳＰＢ,310633,0.96,100円/96玉
タイホー　双葉店,608,P,Ｐ麻雀物語４Ｍ１ＡＵ１Ｙ,1P1449,0.96,100円/96玉
タイホー　双葉店,610,P,ＰＡフィーバーマクロスフロンティア４Ｙ,1P0633,0.96,100円/96玉
タイホー　双葉店,611,P,Ｐとある科学の超電磁砲２ＪＭＢ,4P0379,0.96,100円/96玉
タイホー　双葉店,612,P,ＰＡ真・花の慶次２Ｎ２－Ｘ１,0P0772,0.96,100円/96玉
タイホー　双葉店,613,P,ＰアズールレーンTHE ANIMATION～異次元トリガー１９９～Ｍ４,4P0088,0.96,100円/96玉
タイホー　双葉店,615,P,Ｐ真北斗無双ＦＷＱＧ,1P1264,0.96,100円/96玉
タイホー　双葉店,616,P,Ｐ新世紀エヴァンゲリオン１５　未来への咆哮Ｆ,1P0766,0.96,100円/96玉
タイホー　双葉店,617,P,Ｐ真・一騎当千ＦＭ－Ｖ,210005,0.96,100円/96玉
タイホー　双葉店,618,P,Ｐ真北斗無双４ＧＦＰＨ,210262,0.96,100円/96玉
タイホー　双葉店,620,P,Ｐ弾球黙示録カイジ沼５Ｖ１Ｕ,3P0935,0.96,100円/96玉
タイホー　双葉店,621,P,Ｐフィーバー機動戦士ガンダムユニコーン２　Ｓ,410029,0.96,100円/96玉
タイホー　双葉店,622,P,Ｐ北斗の拳９闘神ＧＦＧ,1P0872,0.96,100円/96玉
タイホー　双葉店,623,P,Ｐ地獄少女覚醒３０００Ｖｅｒ．ＦＨＺ,210181,0.96,100円/96玉
タイホー　双葉店,625,P,Ｐフィーバー機動戦士ガンダムユニコーンｂ,1P0313,0.96,100円/96玉
タイホー　双葉店,626,P,Ｐ緋弾のアリア　～緋弾覚醒編～ＦＶＡ,0P1472,0.96,100円/96玉
タイホー　双葉店,627,P,Ｐフィーバーかぐや様は告らせたいＲ,310267,0.96,100円/96玉
タイホー　双葉店,628,P,ＰＡ真・暴れん坊将軍９９Ｖｅｒ．ＦＷＺ,110061,0.96,100円/96玉
タイホー　双葉店,630,P,Ｐ七つの大罪２ＧＲＰＨ,310446,0.96,100円/96玉
タイホー　双葉店,631,P,Ｐリング　バースデイ　呪いの始まりＦＲＸ設定付,9P0164,0.96,100円/96玉
タイホー　双葉店,632,P,Ｐとある魔術の禁書目録　Ｌｉｇｈｔ　ＪＲＢ,1P1585,0.96,100円/96玉
タイホー　双葉店,633,P,ＰフィーバーからくりサーカスＶ,210057,0.96,100円/96玉
タイホー　双葉店,635,P,ｅシン・エヴァンゲリオンＺ,3P0777,0.96,100円/96玉
タイホー　双葉店,636,P,Ｐ頭文字Ｄ２ＧＦＰＧ,410041,0.96,100円/96玉
タイホー　双葉店,637,P,Ｐターミネーター２Ｌ１ＢＳ１Ｓ,8P0835,0.96,100円/96玉
タイホー　双葉店,638,P,ＰＡガラスの仮面Ｎ－Ｋ１,9P1810,0.96,100円/96玉
タイホー　双葉店,650,P,Ｐ新世紀エヴァンゲリオン　シト、新生Ｇ,9P1121,0.96,100円/96玉
タイホー　双葉店,651,P,Ｐゲゲゲの鬼太郎　獅子奮迅ＲＲＺ,310184,0.96,100円/96玉
タイホー　双葉店,652,P,ＰＡコマコマ倶楽部＠エイジセレクトＹ２Ｆ,9P0083,0.96,100円/96玉
タイホー　双葉店,653,P,Ｐフィーバー機動戦士ガンダムユニコーンｂ,1P0313,0.96,100円/96玉
タイホー　双葉店,655,P,Ｐとある科学の超電磁砲ＦＳＢ,1P0983,0.96,100円/96玉
タイホー　双葉店,656,P,Ｐフィーバーアイドルマスター　３９フェス,1P1170,0.96,100円/96玉
タイホー　双葉店,657,P,Ｐリング　呪いの７日間２　ＪＮ,0P0076,0.96,100円/96玉
タイホー　双葉店,658,P,Ｐ化物語２ＧＦＰＡ,3P1506,0.96,100円/96玉
タイホー　双葉店,660,P,Ｐ宇宙戦艦ヤマト２２０２　ＯＮＬＹ　ＯＮＥ　Ｒ,1P1927,0.96,100円/96玉
タイホー　双葉店,661,P,ＰＡわんわんパラダイスＶ－ＧＢＡ,0Ｐ0666,0.96,100円/96玉
タイホー　双葉店,662,P,Ｐフィーバー機動戦士ガンダムユニコーンｂ,1P0313,0.96,100円/96玉
タイホー　双葉店,663,P,Ｐラブ嬢３Ｈ１ＹＺ６,3P1751,0.96,100円/96玉
タイホー　双葉店,665,P,Ｐ北斗の拳暴凶星ＳＦＰＡ,2P1336,0.96,100円/96玉
タイホー　双葉店,666,P,Ｐコマコマ倶楽部ｗｉｔｈ坂本冬美Ｌ３,1P0992,0.96,100円/96玉
タイホー　双葉店,667,P,Ｐ牙狼ゴールドインパクトＸＸ－ＭＺ,2P0984,0.96,100円/96玉
タイホー　双葉店,668,P,ｅゴッドイータートリプルバーストＭＪ,410192,0.96,100円/96玉
タイホー　双葉店,670,P,ＰＡビビッドレッド・オペレーションＮ２－Ｋ,1P1929,0.96,100円/96玉
タイホー　双葉店,671,P,Ｐ魔王学院の不適合者ＦＭＹ,310659,0.96,100円/96玉
タイホー　双葉店,672,P,Ｐはぐれ刑事純情派Ｌ６－ＸＹ,1P1741,0.96,100円/96玉
タイホー　双葉店,673,P,Ｐフィーバーダンベル何キロ持てる？Ｖ,2P1346,0.96,100円/96玉
タイホー　双葉店,675,P,Ｐ緋弾のアリア　～緋緋神降臨～ＬＴ搭載ＦＳＺ,310452,0.96,100円/96玉
タイホー　双葉店,676,P,Ｐぱちんこ魔法少女まどか☆マギカ２Ｈ５,9P1033,0.96,100円/96玉
タイホー　双葉店,677,P,ＰフィーバークィーンⅡＶ,3P0229,0.96,100円/96玉
タイホー　双葉店,678,P,Ｐ宇宙戦艦ヤマト２２０２ｂＳ,0P1825,0.96,100円/96玉
タイホー　双葉店,680,P,ＰぱちんこウルトラマンティガＫ１７,2P0708,0.96,100円/96玉
タイホー　双葉店,681,P,Ｐゴジラ対エヴァンゲリオン　Ｇ細胞覚醒Ｌ,210166,0.96,100円/96玉
タイホー　双葉店,682,P,Ｐミニミニモンスター４ａ,9P1822,0.96,100円/96玉
タイホー　双葉店,683,P,Ｐサラリーマン金太郎　ＦＶＥ,3P1214,0.96,100円/96玉
タイホー　双葉店,685,P,Ｐ　Ｒｅ：ゼロから始める異世界生活　鬼がかりｖｅｒ.　Ｍ０８,1P0774,0.96,100円/96玉
タイホー　双葉店,686,P,Ｐ真・花の慶次２Ｍ３－ＶＣ,1P0681,0.96,100円/96玉
タイホー　双葉店,687,P,ＰＡコマコマ倶楽部ｗｉｔｈ坂本冬美ＬＯＯＰ１,4P0286,0.96,100円/96玉
タイホー　双葉店,688,P,Ｐとある科学の超電磁砲ＦＳＢ,1P0983,0.96,100円/96玉
タイホー　双葉店,700,P,ｅゴッドイータートリプルバーストＭＪ,410192,0.96,100円/96玉
タイホー　双葉店,701,P,Ｐ花の慶次～蓮Ｌ１６－Ｖ,9P1115,0.96,100円/96玉
タイホー　双葉店,702,P,Ｐ真・花の慶次３ＴＬ５－ＭＸ,2P0966,0.96,100円/96玉
タイホー　双葉店,703,P,Ｐ真北斗無双４ＧＦＰＨ,210262,0.96,100円/96玉
タイホー　双葉店,705,P,Ｐゴジラ対エヴァンゲリオン　Ｇ細胞覚醒Ｌ,210166,0.96,100円/96玉
タイホー　双葉店,706,P,Ｐ七つの大罪２ＧＦＰＡ,210158,0.96,100円/96玉
タイホー　双葉店,707,P,Ｐフィーバー戦姫絶唱シンフォギア　黄金絶唱Ｎ,210099,0.96,100円/96玉
タイホー　双葉店,708,P,ＰちょいパチナナシーＤＸⅡＧ３９,8P0978,0.96,100円/96玉
タイホー　双葉店,710,P,Ｐ新世紀エヴァンゲリオン１５　未来への咆哮,1P0653,0.96,100円/96玉
タイホー　双葉店,711,P,Ｐフィーバー炎炎ノ消防隊Ｇ,2P0685,0.96,100円/96玉
タイホー　双葉店,712,P,Ｐ中森明菜・歌姫伝説４ＬＭ－Ｔ,0P1605,0.96,100円/96玉
タイホー　双葉店,713,P,ＰフィーバークィーンⅡＶ,3P0229,0.96,100円/96玉
タイホー　双葉店,715,P,ＰＡ乗物娘Ｎ－Ｋ　ＹＴ２００,1P0605,0.96,100円/96玉
